image,ground_truth,ue,oe,rec,pre,ue_np,ue_levin,asa,sse_rgb,sse_xy,co,ev,mde,icv,cd,reg,sp,sp_size,sp_size_variation
"108004","108004-4",0.0452329,0.966969,0.831776,0.0397046,0.0904528,8.32542,0.954767,1182.36,245.001,0.0860037,0.722538,0.853369,30.8056,0.426837,0.17043,502,307.572,323.41
"108036","108036-0",0.0664568,0.933809,0.838044,0.0790926,0.130375,24.7758,0.933543,1480.47,303.849,0.109593,0.822222,0.807219,29.9747,0.393592,0.184825,501,308.186,300.091
"108036","108036-1",0.0741511,0.924767,0.850628,0.092272,0.146346,9.27489,0.925849,1480.47,303.849,0.109593,0.822222,0.747547,29.9747,0.393592,0.184825,501,308.186,300.091
"108036","108036-2",0.0606278,0.927552,0.872068,0.0827293,0.119896,91.8039,0.939372,1480.47,303.849,0.109593,0.822222,0.703005,29.9747,0.393592,0.184825,501,308.186,300.091
"108036","108036-3",0.0552976,0.932397,0.902426,0.0845825,0.10996,2.41367,0.944702,1480.47,303.849,0.109593,0.822222,0.586149,29.9747,0.393592,0.184825,501,308.186,300.091
"108036","108036-4",0.0519038,0.955797,0.875078,0.0707455,0.103005,10.5529,0.948096,1480.47,303.849,0.109593,0.822222,0.656986,29.9747,0.393592,0.184825,501,308.186,300.091
"108069","108069-0",0.0192551,0.976114,0.922167,0.0261315,0.0385101,0.276161,0.980745,1438.95,275.788,0.117158,0.825811,0.535629,30.4986,0.370315,0.196443,501,308.186,339.708
"108069","108069-1",0.0194429,0.976114,0.89101,0.0255068,0.0388858,0.270378,0.980557,1438.95,275.788,0.117158,0.825811,0.614013,30.4986,0.370315,0.196443,501,308.186,339.708
"108069","108069-2",0.0251164,0.963705,0.892505,0.0319799,0.0502328,0.266181,0.974884,1438.95,275.788,0.117158,0.825811,0.630455,30.4986,0.370315,0.196443,501,308.186,339.708
"108069","108069-3",0.0244623,0.963906,0.867691,0.0309058,0.0489246,58.575,0.975538,1438.95,275.788,0.117158,0.825811,0.751616,30.4986,0.370315,0.196443,501,308.186,339.708
"108069","108069-4",0.0216708,0.964016,0.92575,0.0343858,0.0433417,0.298573,0.978329,1438.95,275.788,0.117158,0.825811,0.538099,30.4986,0.370315,0.196443,501,308.186,339.708
"109055","109055-0",0.015803,0.980356,0.953064,0.036931,0.031606,0.518348,0.984197,1183.35,297.746,0.125103,0.779881,0.380005,26.8614,0.39036,0.186355,501,308.186,281.443
